"numero_correlativo,""tipo_societario"",""descripcion_tipo_societario"",""razon_social"",""dada_de_baja"",""codigo_baja"",""detalle_baja"",""cuit"""
"47,""10"",""SOCIEDAD COLECTIVA"",""ALLIEVI Y CIA"",""S"",""42014"",""PERTENECE A REGISTRO ENTIDADES INACTIVAS"","""""
"48,""10"",""SOCIEDAD COLECTIVA"",""ALMANN PROPAGANDA"",""S"",""42014"",""PERTENECE A REGISTRO ENTIDADES INACTIVAS"",""30620230525"""
"49,""10"",""SOCIEDAD COLECTIVA"",""ALMEN"",""S"",""42014"",""PERTENECE A REGISTRO ENTIDADES INACTIVAS"","""""
"50,""10"",""SOCIEDAD COLECTIVA"",""ACQUAGAS"",""S"",""42014"",""PERTENECE A REGISTRO ENTIDADES INACTIVAS"",""30707512292"""
"51,""10"",""SOCIEDAD COLECTIVA"",""ALONSO Y DIEGO"",""S"",""42014"",""PERTENECE A REGISTRO ENTIDADES INACTIVAS"","""""
"52,""10"",""SOCIEDAD COLECTIVA"",""ALQUIMAGNA"",""S"",""42014"",""PERTENECE A REGISTRO ENTIDADES INACTIVAS"","""""
"53,""10"",""SOCIEDAD COLECTIVA"",""ALUEN"",""S"",""42014"",""PERTENECE A REGISTRO ENTIDADES INACTIVAS"","""""
"54,""10"",""SOCIEDAD COLECTIVA"",""ALVAR"",""S"",""42014"",""PERTENECE A REGISTRO ENTIDADES INACTIVAS"","""""
"55,""10"",""SOCIEDAD COLECTIVA"",""ALVAREZ & FREGA"",""S"",""42014"",""PERTENECE A REGISTRO ENTIDADES INACTIVAS"","""""
"56,""10"",""SOCIEDAD COLECTIVA"",""ALVAREZ E HIJOS"",""S"",""42014"",""PERTENECE A REGISTRO ENTIDADES INACTIVAS"","""""
"57,""10"",""SOCIEDAD COLECTIVA"",""ALVAREZ MEJUTO Y CIA"",""S"",""42014"",""PERTENECE A REGISTRO ENTIDADES INACTIVAS"","""""
"58,""10"",""SOCIEDAD COLECTIVA"",""ALVAREZ PERDIZ Y CIA"",""S"",""42014"",""PERTENECE A REGISTRO ENTIDADES INACTIVAS"","""""
